generation,pokedex_number,name,description,species,type_1,type_2,height_m,weight_kg,ability_1,ability_2,ability_hidden,stat_total,hp,attack,defense,sp_attack,sp_defense,speed,sound_link,image_link
1,11,Metapod,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack.",Cocoon Pokémon,Bug,,0.7,9.9,Shed Skin,,,205.0,50.0,20.0,55.0,25.0,25.0,30.0,https://play.pokemonshowdown.com/audio/cries/metapod.mp3,https://projectpokemon.org/images/normal-sprite/metapod.gif
1,12,Butterfree,"In battle, it flaps its wings at great speed to release highly toxic dust into the air.",Butterfly Pokémon,Bug,Flying,1.1,32.0,Compound Eyes,,Tinted Lens,395.0,60.0,45.0,50.0,90.0,80.0,70.0,https://play.pokemonshowdown.com/audio/cries/butterfree.mp3,https://projectpokemon.org/images/normal-sprite/butterfree.gif
1,13,Weedle,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.,Hairy Bug Pokémon,Bug,Poison,0.3,3.2,Shield Dust,,Run Away,195.0,40.0,35.0,30.0,20.0,20.0,50.0,https://play.pokemonshowdown.com/audio/cries/weedle.mp3,https://projectpokemon.org/images/normal-sprite/weedle.gif
1,14,Kakuna,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy.",Cocoon Pokémon,Bug,Poison,0.6,10.0,Shed Skin,,,205.0,45.0,25.0,50.0,25.0,25.0,35.0,https://play.pokemonshowdown.com/audio/cries/kakuna.mp3,https://projectpokemon.org/images/normal-sprite/kakuna.gif
1,15,Beedrill,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,Poison Bee Pokémon,Bug,Poison,1.0,29.5,Swarm,,Sniper,395.0,65.0,90.0,40.0,45.0,80.0,75.0,https://play.pokemonshowdown.com/audio/cries/beedrill.mp3,https://projectpokemon.org/images/normal-sprite/beedrill.gif
1,16,Pidgey,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.",Tiny Bird Pokémon,Normal,Flying,0.3,1.8,Keen Eye,Tangled Feet,Big Pecks,251.0,40.0,45.0,40.0,35.0,35.0,56.0,https://play.pokemonshowdown.com/audio/cries/pidgey.mp3,https://projectpokemon.org/images/normal-sprite/pidgey.gif
1,17,Pidgeotto,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.,Bird Pokémon,Normal,Flying,1.1,30.0,Keen Eye,Tangled Feet,Big Pecks,349.0,63.0,60.0,55.0,50.0,50.0,71.0,https://play.pokemonshowdown.com/audio/cries/pidgeotto.mp3,https://projectpokemon.org/images/normal-sprite/pidgeotto.gif
1,18,Pidgeot,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons.",Bird Pokémon,Normal,Flying,1.5,39.5,Keen Eye,Tangled Feet,Big Pecks,479.0,83.0,80.0,75.0,70.0,70.0,101.0,https://play.pokemonshowdown.com/audio/cries/pidgeot.mp3,https://projectpokemon.org/images/normal-sprite/pidgeot.gif
1,19,Rattata,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area.",Mouse Pokémon,Normal,,0.3,3.5,Run Away,Guts,Hustle,253.0,30.0,56.0,35.0,25.0,35.0,72.0,https://play.pokemonshowdown.com/audio/cries/rattata.mp3,https://projectpokemon.org/images/normal-sprite/rattata.gif
1,20,Raticate,"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey.",Mouse Pokémon,Normal,,0.7,18.5,Run Away,Guts,Hustle,413.0,55.0,81.0,60.0,50.0,70.0,97.0,https://play.pokemonshowdown.com/audio/cries/raticate.mp3,https://projectpokemon.org/images/normal-sprite/raticate.gif
1,21,Spearow,"Inept at flying high. However, it can fly around very fast to protect its territory.",Tiny Bird Pokémon,Normal,Flying,0.3,2.0,Keen Eye,,Sniper,262.0,40.0,60.0,30.0,31.0,31.0,70.0,https://play.pokemonshowdown.com/audio/cries/spearow.mp3,https://projectpokemon.org/images/normal-sprite/spearow.gif
1,22,Fearow,"A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly.",Beak Pokémon,Normal,Flying,1.2,38.0,Keen Eye,,Sniper,442.0,65.0,90.0,65.0,61.0,61.0,100.0,https://play.pokemonshowdown.com/audio/cries/fearow.mp3,https://projectpokemon.org/images/normal-sprite/fearow.gif
1,23,Ekans,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.",Snake Pokémon,Poison,,2.0,6.9,Intimidate,Shed Skin,Unnerve,288.0,35.0,60.0,44.0,40.0,54.0,55.0,https://play.pokemonshowdown.com/audio/cries/ekans.mp3,https://projectpokemon.org/images/normal-sprite/ekans.gif
1,24,Arbok,The frightening patterns on its belly have been studied. Six variations have been confirmed.,Cobra Pokémon,Poison,,3.5,65.0,Intimidate,Shed Skin,Unnerve,448.0,60.0,95.0,69.0,65.0,79.0,80.0,https://play.pokemonshowdown.com/audio/cries/arbok.mp3,https://projectpokemon.org/images/normal-sprite/arbok.gif
1,25,Pikachu,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.,Mouse Pokémon,Electric,,0.4,6.0,Static,,Lightning Rod,320.0,35.0,55.0,40.0,50.0,50.0,90.0,https://play.pokemonshowdown.com/audio/cries/pikachu.mp3,https://projectpokemon.org/images/normal-sprite/pikachu.gif
1,26,Raichu,Its long tail serves as a ground to protect itself from its own high-voltage power.,Mouse Pokémon,Electric,,0.8,30.0,Static,,Lightning Rod,485.0,60.0,90.0,55.0,90.0,80.0,110.0,https://play.pokemonshowdown.com/audio/cries/raichu.mp3,https://projectpokemon.org/images/normal-sprite/raichu.gif
1,27,Sandshrew,"It loves to bathe in the grit of dry, sandy areas. By sand bathing, the Pokémon rids itself of dirt and moisture clinging to its body.",Mouse Pokémon,Ground,,0.6,12.0,Sand Veil,,Sand Rush,300.0,50.0,75.0,85.0,20.0,30.0,40.0,https://play.pokemonshowdown.com/audio/cries/sandshrew.mp3,https://projectpokemon.org/images/normal-sprite/sandshrew.gif
1,28,Sandslash,"The drier the area Sandslash lives in, the harder and smoother the Pokémon’s spikes will feel when touched.",Mouse Pokémon,Ground,,1.0,29.5,Sand Veil,,Sand Rush,450.0,75.0,100.0,110.0,45.0,55.0,65.0,https://play.pokemonshowdown.com/audio/cries/sandslash.mp3,https://projectpokemon.org/images/normal-sprite/sandslash.gif
1,29,Nidoran♀,"Females are more sensitive to smells than males. While foraging, they’ll use their whiskers to check wind direction and stay downwind of predators.",Poison Pin Pokémon,Poison,,0.4,7.0,Poison Point,Rivalry,Hustle,275.0,55.0,47.0,52.0,40.0,40.0,41.0,https://play.pokemonshowdown.com/audio/cries/nidoran.mp3,https://projectpokemon.org/images/normal-sprite/nidoran.gif
1,30,Nidorina,The horn on its head has atrophied. It’s thought that this happens so Nidorina’s children won’t get poked while their mother is feeding them.,Poison Pin Pokémon,Poison,,0.8,20.0,Poison Point,Rivalry,Hustle,365.0,70.0,62.0,67.0,55.0,55.0,56.0,https://play.pokemonshowdown.com/audio/cries/nidorina.mp3,https://projectpokemon.org/images/normal-sprite/nidorina.gif
1,31,Nidoqueen,"Nidoqueen is better at defense than offense. With scales like armor, this Pokémon will shield its children from any kind of attack.",Drill Pokémon,Poison,Ground,1.3,60.0,Poison Point,Rivalry,Sheer Force,505.0,90.0,92.0,87.0,75.0,85.0,76.0,https://play.pokemonshowdown.com/audio/cries/nidoqueen.mp3,https://projectpokemon.org/images/normal-sprite/nidoqueen.gif
1,32,Nidoran♂,"The horn on a male Nidoran’s forehead contains a powerful poison. This is a very cautious Pokémon, always straining its large ears.",Poison Pin Pokémon,Poison,,0.5,9.0,Poison Point,Rivalry,Hustle,273.0,46.0,57.0,40.0,40.0,40.0,50.0,https://play.pokemonshowdown.com/audio/cries/nidoran.mp3,https://projectpokemon.org/images/normal-sprite/nidoran.gif
1,33,Nidorino,"With a horn that’s harder than diamond, this Pokémon goes around shattering boulders as it searches for a moon stone.",Poison Pin Pokémon,Poison,,0.9,19.5,Poison Point,Rivalry,Hustle,365.0,61.0,72.0,57.0,55.0,55.0,65.0,https://play.pokemonshowdown.com/audio/cries/nidorino.mp3,https://projectpokemon.org/images/normal-sprite/nidorino.gif
1,34,Nidoking,"When it goes on a rampage, it’s impossible to control. But in the presence of a Nidoqueen it’s lived with for a long time, Nidoking calms down.",Drill Pokémon,Poison,Ground,1.4,62.0,Poison Point,Rivalry,Sheer Force,505.0,81.0,102.0,77.0,85.0,75.0,85.0,https://play.pokemonshowdown.com/audio/cries/nidoking.mp3,https://projectpokemon.org/images/normal-sprite/nidoking.gif
1,35,Clefairy,It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon.,Fairy Pokémon,Fairy,,0.6,7.5,Cute Charm,Magic Guard,Friend Guard,323.0,70.0,45.0,48.0,60.0,65.0,35.0,https://play.pokemonshowdown.com/audio/cries/clefairy.mp3,https://projectpokemon.org/images/normal-sprite/clefairy.gif
1,36,Clefable,"A timid fairy Pokémon that is rarely seen, it will run and hide the moment it senses people.",Fairy Pokémon,Fairy,,1.3,40.0,Cute Charm,Magic Guard,Unaware,483.0,95.0,70.0,73.0,95.0,90.0,60.0,https://play.pokemonshowdown.com/audio/cries/clefable.mp3,https://projectpokemon.org/images/normal-sprite/clefable.gif
1,37,Vulpix,"While young, it has six gorgeous tails. When it grows, several new tails are sprouted.",Fox Pokémon,Fire,,0.6,9.9,Flash Fire,,Drought,299.0,38.0,41.0,40.0,50.0,65.0,65.0,https://play.pokemonshowdown.com/audio/cries/vulpix.mp3,https://projectpokemon.org/images/normal-sprite/vulpix.gif
1,38,Ninetales,"It is said to live 1,000 years, and each of its tails is loaded with supernatural powers.",Fox Pokémon,Fire,,1.1,19.9,Flash Fire,,Drought,505.0,73.0,76.0,75.0,81.0,100.0,100.0,https://play.pokemonshowdown.com/audio/cries/ninetales.mp3,https://projectpokemon.org/images/normal-sprite/ninetales.gif
1,39,Jigglypuff,"Jigglypuff has top-notch lung capacity, even by comparison to other Pokémon. It won’t stop singing its lullabies until its foes fall asleep.",Balloon Pokémon,Normal,Fairy,0.5,5.5,Cute Charm,Competitive,Friend Guard,270.0,115.0,45.0,20.0,45.0,25.0,20.0,https://play.pokemonshowdown.com/audio/cries/jigglypuff.mp3,https://projectpokemon.org/images/normal-sprite/jigglypuff.gif
1,40,Wigglytuff,"The more air it takes in, the more it inflates. If opponents catch it in a bad mood, it will inflate itself to an enormous size to intimidate them.",Balloon Pokémon,Normal,Fairy,1.0,12.0,Cute Charm,Competitive,Frisk,435.0,140.0,70.0,45.0,85.0,50.0,45.0,https://play.pokemonshowdown.com/audio/cries/wigglytuff.mp3,https://projectpokemon.org/images/normal-sprite/wigglytuff.gif
1,41,Zubat,"It emits ultrasonic waves from its mouth to check its surroundings. Even in tight caves, Zubat flies around with skill.",Bat Pokémon,Poison,Flying,0.8,7.5,Inner Focus,,Infiltrator,245.0,40.0,45.0,35.0,30.0,40.0,55.0,https://play.pokemonshowdown.com/audio/cries/zubat.mp3,https://projectpokemon.org/images/normal-sprite/zubat.gif
1,42,Golbat,"It loves to drink other creatures’ blood. It’s said that if it finds others of its kind going hungry, it sometimes shares the blood it’s gathered.",Bat Pokémon,Poison,Flying,1.6,55.0,Inner Focus,,Infiltrator,455.0,75.0,80.0,70.0,65.0,75.0,90.0,https://play.pokemonshowdown.com/audio/cries/golbat.mp3,https://projectpokemon.org/images/normal-sprite/golbat.gif
1,43,Oddish,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds.",Weed Pokémon,Grass,Poison,0.5,5.4,Chlorophyll,,Run Away,320.0,45.0,50.0,55.0,75.0,65.0,30.0,https://play.pokemonshowdown.com/audio/cries/oddish.mp3,https://projectpokemon.org/images/normal-sprite/oddish.gif
1,44,Gloom,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.,Weed Pokémon,Grass,Poison,0.8,8.6,Chlorophyll,,Stench,395.0,60.0,65.0,70.0,85.0,75.0,40.0,https://play.pokemonshowdown.com/audio/cries/gloom.mp3,https://projectpokemon.org/images/normal-sprite/gloom.gif
1,45,Vileplume,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",Flower Pokémon,Grass,Poison,1.2,18.6,Chlorophyll,,Effect Spore,490.0,75.0,80.0,85.0,110.0,90.0,50.0,https://play.pokemonshowdown.com/audio/cries/vileplume.mp3,https://projectpokemon.org/images/normal-sprite/vileplume.gif
1,46,Paras,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.,Mushroom Pokémon,Bug,Grass,0.3,5.4,Effect Spore,Dry Skin,Damp,285.0,35.0,70.0,55.0,45.0,55.0,25.0,https://play.pokemonshowdown.com/audio/cries/paras.mp3,https://projectpokemon.org/images/normal-sprite/paras.gif
1,47,Parasect,The bug host is drained of energy by the mushroom on its back. The mushroom appears to do all the thinking.,Mushroom Pokémon,Bug,Grass,1.0,29.5,Effect Spore,Dry Skin,Damp,405.0,60.0,95.0,80.0,60.0,80.0,30.0,https://play.pokemonshowdown.com/audio/cries/parasect.mp3,https://projectpokemon.org/images/normal-sprite/parasect.gif
1,48,Venonat,"Its large eyes act as radar. In a bright place, you can see that they are clusters of many tiny eyes.",Insect Pokémon,Bug,Poison,1.0,30.0,Compound Eyes,Tinted Lens,Run Away,305.0,60.0,55.0,50.0,40.0,55.0,45.0,https://play.pokemonshowdown.com/audio/cries/venonat.mp3,https://projectpokemon.org/images/normal-sprite/venonat.gif
1,49,Venomoth,The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.,Poison Moth Pokémon,Bug,Poison,1.5,12.5,Shield Dust,Tinted Lens,Wonder Skin,450.0,70.0,65.0,60.0,90.0,75.0,90.0,https://play.pokemonshowdown.com/audio/cries/venomoth.mp3,https://projectpokemon.org/images/normal-sprite/venomoth.gif
1,50,Diglett,"If a Diglett digs through a field, it leaves the soil perfectly tilled and ideal for planting crops.",Mole Pokémon,Ground,,0.2,0.8,Sand Veil,Arena Trap,Sand Force,265.0,10.0,55.0,25.0,35.0,45.0,95.0,https://play.pokemonshowdown.com/audio/cries/diglett.mp3,https://projectpokemon.org/images/normal-sprite/diglett.gif
1,51,Dugtrio,A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground.,Mole Pokémon,Ground,,0.7,33.3,Sand Veil,Arena Trap,Sand Force,425.0,35.0,100.0,50.0,50.0,70.0,120.0,https://play.pokemonshowdown.com/audio/cries/dugtrio.mp3,https://projectpokemon.org/images/normal-sprite/dugtrio.gif
1,52,Meowth,"It loves to collect shiny things. If it’s in a good mood, it might even let its Trainer have a look at its hoard of treasures.",Scratch Cat Pokémon,Normal,,0.4,4.2,Pickup,Technician,Unnerve,290.0,40.0,45.0,35.0,40.0,40.0,90.0,https://play.pokemonshowdown.com/audio/cries/meowth.mp3,https://projectpokemon.org/images/normal-sprite/meowth.gif
1,53,Persian,"Getting this prideful Pokémon to warm up to you takes a lot of effort, and it will claw at you the moment it gets annoyed.",Classy Cat Pokémon,Normal,,1.0,32.0,Limber,Technician,Unnerve,440.0,65.0,70.0,60.0,65.0,65.0,115.0,https://play.pokemonshowdown.com/audio/cries/persian.mp3,https://projectpokemon.org/images/normal-sprite/persian.gif
1,54,Psyduck,"Psyduck is constantly beset by headaches. If the Pokémon lets its strange power erupt, apparently the pain subsides for a while.",Duck Pokémon,Water,,0.8,19.6,Damp,Cloud Nine,Swift Swim,320.0,50.0,52.0,48.0,65.0,50.0,55.0,https://play.pokemonshowdown.com/audio/cries/psyduck.mp3,https://projectpokemon.org/images/normal-sprite/psyduck.gif
1,55,Golduck,"This Pokémon lives in gently flowing rivers. It paddles through the water with its long limbs, putting its graceful swimming skills on display.",Duck Pokémon,Water,,1.7,76.6,Damp,Cloud Nine,Swift Swim,500.0,80.0,82.0,78.0,95.0,80.0,85.0,https://play.pokemonshowdown.com/audio/cries/golduck.mp3,https://projectpokemon.org/images/normal-sprite/golduck.gif
1,56,Mankey,An agile Pokémon that lives in trees. It angers easily and will not hesitate to attack anything.,Pig Monkey Pokémon,Fighting,,0.5,28.0,Vital Spirit,Anger Point,Defiant,305.0,40.0,80.0,35.0,35.0,45.0,70.0,https://play.pokemonshowdown.com/audio/cries/mankey.mp3,https://projectpokemon.org/images/normal-sprite/mankey.gif
1,57,Primeape,It stops being angry only when nobody else is around. To view this moment is very difficult.,Pig Monkey Pokémon,Fighting,,1.0,32.0,Vital Spirit,Anger Point,Defiant,455.0,65.0,105.0,60.0,60.0,70.0,95.0,https://play.pokemonshowdown.com/audio/cries/primeape.mp3,https://projectpokemon.org/images/normal-sprite/primeape.gif
1,58,Growlithe,It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.,Puppy Pokémon,Fire,,0.7,19.0,Intimidate,Flash Fire,Justified,350.0,55.0,70.0,45.0,70.0,50.0,60.0,https://play.pokemonshowdown.com/audio/cries/growlithe.mp3,https://projectpokemon.org/images/normal-sprite/growlithe.gif
1,59,Arcanine,"The sight of it running over 6,200 miles in a single day and night has captivated many people.",Legendary Pokémon,Fire,,1.9,155.0,Intimidate,Flash Fire,Justified,555.0,90.0,110.0,80.0,100.0,80.0,95.0,https://play.pokemonshowdown.com/audio/cries/arcanine.mp3,https://projectpokemon.org/images/normal-sprite/arcanine.gif
1,60,Poliwag,"For Poliwag, swimming is easier than walking. The swirl pattern on its belly is actually part of the Pokémon’s innards showing through the skin.",Tadpole Pokémon,Water,,0.6,12.4,Water Absorb,Damp,Swift Swim,300.0,40.0,50.0,40.0,40.0,40.0,90.0,https://play.pokemonshowdown.com/audio/cries/poliwag.mp3,https://projectpokemon.org/images/normal-sprite/poliwag.gif
1,61,Poliwhirl,Staring at the swirl on its belly causes drowsiness. This trait of Poliwhirl’s has been used in place of lullabies to get children to go to sleep.,Tadpole Pokémon,Water,,1.0,20.0,Water Absorb,Damp,Swift Swim,385.0,65.0,65.0,65.0,50.0,50.0,90.0,https://play.pokemonshowdown.com/audio/cries/poliwhirl.mp3,https://projectpokemon.org/images/normal-sprite/poliwhirl.gif
1,62,Poliwrath,"Its body is solid muscle. When swimming through cold seas, Poliwrath uses its impressive arms to smash through drift ice and plow forward.",Tadpole Pokémon,Water,Fighting,1.3,54.0,Water Absorb,Damp,Swift Swim,510.0,90.0,95.0,95.0,70.0,90.0,70.0,https://play.pokemonshowdown.com/audio/cries/poliwrath.mp3,https://projectpokemon.org/images/normal-sprite/poliwrath.gif
1,63,Abra,This Pokémon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokémon wields.,Psi Pokémon,Psychic,,0.9,19.5,Synchronize,Inner Focus,Magic Guard,310.0,25.0,20.0,15.0,105.0,55.0,90.0,https://play.pokemonshowdown.com/audio/cries/abra.mp3,https://projectpokemon.org/images/normal-sprite/abra.gif
1,64,Kadabra,"Using its psychic power, Kadabra levitates as it sleeps. It uses its springy tail as a pillow.",Psi Pokémon,Psychic,,1.3,56.5,Synchronize,Inner Focus,Magic Guard,400.0,40.0,35.0,30.0,120.0,70.0,105.0,https://play.pokemonshowdown.com/audio/cries/kadabra.mp3,https://projectpokemon.org/images/normal-sprite/kadabra.gif
1,65,Alakazam,"It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death.",Psi Pokémon,Psychic,,1.5,48.0,Synchronize,Inner Focus,Magic Guard,500.0,55.0,50.0,45.0,135.0,95.0,120.0,https://play.pokemonshowdown.com/audio/cries/alakazam.mp3,https://projectpokemon.org/images/normal-sprite/alakazam.gif
1,66,Machop,"Its whole body is composed of muscles. Even though it’s the size of a human child, it can hurl 100 grown-ups.",Superpower Pokémon,Fighting,,0.8,19.5,Guts,No Guard,Steadfast,305.0,70.0,80.0,50.0,35.0,35.0,35.0,https://play.pokemonshowdown.com/audio/cries/machop.mp3,https://projectpokemon.org/images/normal-sprite/machop.gif
1,67,Machoke,"Its muscular body is so powerful, it must wear a power-save belt to be able to regulate its motions.",Superpower Pokémon,Fighting,,1.5,70.5,Guts,No Guard,Steadfast,405.0,80.0,100.0,70.0,50.0,60.0,45.0,https://play.pokemonshowdown.com/audio/cries/machoke.mp3,https://projectpokemon.org/images/normal-sprite/machoke.gif
1,68,Machamp,It quickly swings its four arms to rock its opponents with ceaseless punches and chops from all angles.,Superpower Pokémon,Fighting,,1.6,130.0,Guts,No Guard,Steadfast,505.0,90.0,130.0,80.0,65.0,85.0,55.0,https://play.pokemonshowdown.com/audio/cries/machamp.mp3,https://projectpokemon.org/images/normal-sprite/machamp.gif
1,69,Bellsprout,Prefers hot and humid places. It ensnares tiny bugs with its vines and devours them.,Flower Pokémon,Grass,Poison,0.7,4.0,Chlorophyll,,Gluttony,300.0,50.0,75.0,35.0,70.0,30.0,40.0,https://play.pokemonshowdown.com/audio/cries/bellsprout.mp3,https://projectpokemon.org/images/normal-sprite/bellsprout.gif
1,70,Weepinbell,"When hungry, it swallows anything that moves. Its hapless prey is dissolved by strong acids.",Flycatcher Pokémon,Grass,Poison,1.0,6.4,Chlorophyll,,Gluttony,390.0,65.0,90.0,50.0,85.0,45.0,55.0,https://play.pokemonshowdown.com/audio/cries/weepinbell.mp3,https://projectpokemon.org/images/normal-sprite/weepinbell.gif
1,71,Victreebel,"Lures prey with the sweet aroma of honey. Swallowed whole, the prey is dissolved in a day, bones and all.",Flycatcher Pokémon,Grass,Poison,1.7,15.5,Chlorophyll,,Gluttony,490.0,80.0,105.0,65.0,100.0,70.0,70.0,https://play.pokemonshowdown.com/audio/cries/victreebel.mp3,https://projectpokemon.org/images/normal-sprite/victreebel.gif
1,72,Tentacool,Tentacool is not a particularly strong swimmer. It drifts across the surface of shallow seas as it searches for prey.,Jellyfish Pokémon,Water,Poison,0.9,45.5,Clear Body,Liquid Ooze,Rain Dish,335.0,40.0,40.0,35.0,50.0,100.0,70.0,https://play.pokemonshowdown.com/audio/cries/tentacool.mp3,https://projectpokemon.org/images/normal-sprite/tentacool.gif
1,73,Tentacruel,"When the red orbs on Tentacruel’s head glow brightly, watch out. The Pokémon is about to fire off a burst of ultrasonic waves.",Jellyfish Pokémon,Water,Poison,1.6,55.0,Clear Body,Liquid Ooze,Rain Dish,515.0,80.0,70.0,65.0,80.0,120.0,100.0,https://play.pokemonshowdown.com/audio/cries/tentacruel.mp3,https://projectpokemon.org/images/normal-sprite/tentacruel.gif
1,74,Geodude,"Commonly found near mountain trails and the like. If you step on one by accident, it gets angry.",Rock Pokémon,Rock,Ground,0.4,20.0,Rock Head,Sturdy,Sand Veil,300.0,40.0,80.0,100.0,30.0,30.0,20.0,https://play.pokemonshowdown.com/audio/cries/geodude.mp3,https://projectpokemon.org/images/normal-sprite/geodude.gif
1,75,Graveler,"Often seen rolling down mountain trails. Obstacles are just things to roll straight over, not avoid.",Rock Pokémon,Rock,Ground,1.0,105.0,Rock Head,Sturdy,Sand Veil,390.0,55.0,95.0,115.0,45.0,45.0,35.0,https://play.pokemonshowdown.com/audio/cries/graveler.mp3,https://projectpokemon.org/images/normal-sprite/graveler.gif
1,76,Golem,"Once it sheds its skin, its body turns tender and whitish. Its hide hardens when it’s exposed to air.",Megaton Pokémon,Rock,Ground,1.4,300.0,Rock Head,Sturdy,Sand Veil,495.0,80.0,120.0,130.0,55.0,65.0,45.0,https://play.pokemonshowdown.com/audio/cries/golem.mp3,https://projectpokemon.org/images/normal-sprite/golem.gif
1,77,Ponyta,"It can’t run properly when it’s newly born. As it races around with others of its kind, its legs grow stronger.",Fire Horse Pokémon,Fire,,1.0,30.0,Run Away,Flash Fire,Flame Body,410.0,50.0,85.0,55.0,65.0,65.0,90.0,https://play.pokemonshowdown.com/audio/cries/ponyta.mp3,https://projectpokemon.org/images/normal-sprite/ponyta.gif
1,78,Rapidash,"This Pokémon can be seen galloping through fields at speeds of up to 150 mph, its fiery mane fluttering in the wind.",Fire Horse Pokémon,Fire,,1.7,95.0,Run Away,Flash Fire,Flame Body,500.0,65.0,100.0,70.0,80.0,80.0,105.0,https://play.pokemonshowdown.com/audio/cries/rapidash.mp3,https://projectpokemon.org/images/normal-sprite/rapidash.gif
